Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,points
147,Kaden Smith,NYG,22,te,9,6,42,31,73.80%,268,8.6,3,12,32,6.4,3.4,29.8,2,SmitKa00,71.8
148,Willie Snead,BAL,27,WR,16,11,46,31,67.40%,339,10.9,5,20,50,7.4,1.9,21.2,0,SneaWi00,94.9
149,Giovani Bernard,CIN,28,rb,16,2,43,30,69.80%,234,7.8,0,7,35,5.4,1.9,14.6,2,BernGi00,49.4
150,Kendrick Bourne,SFO,24,wr,16,0,44,30,68.20%,358,11.9,5,23,30,8.1,1.9,22.4,0,BourKe00,95.8
151,Ted Ginn Jr.,NOR,34,WR,16,9,56,30,53.60%,421,14,2,20,45,7.5,1.9,26.3,0,GinnTe00,84.1
152,Kelvin Harmon,WAS,23,WR,16,8,44,30,68.20%,365,12.2,0,16,30,8.3,1.9,22.8,0,HarmKe00,66.5
153,Hayden Hurst,BAL,26,te,16,4,39,30,76.90%,349,11.6,2,16,61,8.9,1.9,21.8,0,HursHa00,76.9
154,Adam Thielen,MIN,29,WR,10,10,48,30,62.50%,418,13.9,6,18,44,8.7,3,41.8,0,ThieAd00,107.8
155,Damien Williams,KAN,27,rb,11,6,37,30,81.10%,213,7.1,2,10,32,5.8,2.7,19.4,1,WillDa05,61.3
156,Phillip Dorsett,NWE,26,wr,14,4,54,29,53.70%,397,13.7,5,17,58,7.4,2.1,28.4,0,DorsPh00,98.7
157,Taylor Gabriel,CHI,28,WR,9,7,48,29,60.40%,353,12.2,4,17,53,7.4,3.2,39.2,0,GabrTa00,88.3
158,Devin Singletary,BUF,22,RB,12,8,41,29,70.70%,194,6.7,2,5,49,4.7,2.4,16.2,4,SingDe00,52.4
159,DaeSean Hamilton,DEN,24,wr,16,2,52,28,53.80%,297,10.6,1,19,28,5.7,1.8,18.6,0,HamiDa01,63.7
160,Dawson Knox,BUF,23,TE,15,11,50,28,56.00%,388,13.9,2,15,49,7.8,1.9,25.9,0,KnoxDa00,78.8
161,LeSean McCoy,KAN,31,RB,13,9,34,28,82.40%,181,6.5,1,6,23,5.3,2.2,13.9,3,McCoLe01,46.1
162,Paul Richardson,WAS,27,WR,10,6,42,28,66.70%,245,8.8,2,13,22,5.8,2.8,24.5,0,RichPa01,64.5
